X_1,X_2,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MULTIPLE_OFFENSE_x,MULTIPLE_OFFENSE_y
0.0,4.0,6.0,5.0,1.0,0.0,0.0,5.0,0.6931471805599453,174.0,0.0,18.0,93.0,46.0,1.0,1
0.0,44.0,1.0,3.0,2.0,7.0,0.0,5.0,0.6931471805599453,174.0,0.6931471805599453,103.0,53.0,34.0,1.0,1
0.0,46.0,3.0,5.0,7.0,1.0,0.6931471805599453,6.0,0.6931471805599453,249.0,0.0,112.0,80.0,34.0,1.0,1
0.0,37.0,0.0,0.0,7.0,1.0,0.6931471805599453,6.0,0.6931471805599453,316.0,0.6931471805599453,72.0,107.0,34.0,1.0,1
7.0,36.0,2.0,1.0,9.0,8.0,0.6931471805599453,5.0,0.6931471805599453,174.0,0.0,92.0,142.0,43.0,1.0,1
0.0,49.0,6.0,5.0,4.0,2.0,0.6931471805599453,2.0,0.6931471805599453,0.0,0.6931471805599453,98.0,107.0,34.0,1.0,1
7.0,49.0,6.0,5.0,9.0,8.0,0.0,5.0,0.6931471805599453,249.0,0.6931471805599453,112.0,62.0,34.0,1.0,1
0.0,33.0,2.0,1.0,4.0,2.0,0.0,5.0,0.6931471805599453,249.0,0.6931471805599453,72.0,93.0,34.0,1.0,1
0.0,45.0,10.0,3.0,1.0,0.0,0.0,5.0,0.6931471805599453,249.0,0.6931471805599453,103.0,62.0,34.0,1.0,1
1.0,45.0,10.0,3.0,16.0,12.0,0.0,5.0,0.6931471805599453,0.0,0.6931471805599453,72.0,29.0,34.0,1.0,1
0.0,40.0,2.0,1.0,3.0,5.0,1.0986122886681098,6.0,0.6931471805599453,249.0,0.6931471805599453,59.0,29.0,34.0,1.0,1
0.0,26.0,9.0,0.0,3.0,5.0,1.3862943611198906,6.0,1.0986122886681098,0.0,1.0986122886681098,72.0,119.0,34.0,1.0,1
0.0,33.0,2.0,1.0,8.0,3.0,0.6931471805599453,6.0,0.6931471805599453,316.0,0.6931471805599453,92.0,29.0,34.0,1.0,1
0.0,33.0,2.0,1.0,7.0,1.0,0.6931471805599453,6.0,0.6931471805599453,249.0,0.6931471805599453,116.0,29.0,34.0,1.0,1
0.0,4.0,6.0,5.0,1.0,0.0,0.6931471805599453,6.0,0.6931471805599453,0.0,0.6931471805599453,72.0,29.0,34.0,1.0,1
0.0,4.0,6.0,5.0,2.0,7.0,0.6931471805599453,6.0,0.6931471805599453,316.0,0.6931471805599453,103.0,103.0,34.0,1.0,1
